datetime,substation,feeder,consumption
2017-01-01T00:00:00,B,B3,25.83333333333334
2017-01-01T01:00:00,B,B3,25.0
2017-01-01T02:00:00,B,B3,34.99999999999999
2017-01-01T03:00:00,B,B3,34.99999999999999
2017-01-01T04:00:00,B,B3,25.0
2017-01-01T05:00:00,B,B3,25.0
2017-01-01T06:00:00,B,B3,29.62371436900692
2017-01-01T07:00:00,B,B3,37.77773231509119
2017-01-01T08:00:00,B,B3,40.83676440612144
2017-01-01T09:00:00,B,B3,43.97340034318531
2017-01-01T10:00:00,B,B3,42.644445095733694
2017-01-01T11:00:00,B,B3,42.492882484448224
2017-01-01T12:00:00,B,B3,44.689416586949285
2017-01-01T13:00:00,B,B3,45.19965881490459
2017-01-01T14:00:00,B,B3,36.9223245713738
2017-01-01T15:00:00,B,B3,31.65711932717299
2017-01-01T16:00:00,B,B3,28.59233815111742
2017-01-01T17:00:00,B,B3,24.87130760077329
2017-01-01T18:00:00,B,B3,23.0
2017-01-01T19:00:00,B,B3,24.000000000000004
2017-01-01T20:00:00,B,B3,22.00000000000001
2017-01-01T21:00:00,B,B3,21.0
2017-01-01T22:00:00,B,B3,21.00000000000001
2017-01-01T23:00:00,B,B3,23.0
2017-01-02T00:00:00,B,B3,25.0
2017-01-02T01:00:00,B,B3,28.0
2017-01-02T02:00:00,B,B3,43.99999999999997
2017-01-02T03:00:00,B,B3,43.99999999999997
2017-01-02T04:00:00,B,B3,43.99999999999997
2017-01-02T05:00:00,B,B3,43.99999999999997
2017-01-02T06:00:00,B,B3,77.00000000000001
2017-01-02T07:00:00,B,B3,88.00000000000003
2017-01-02T08:00:00,B,B3,88.00000000000003
2017-01-02T09:00:00,B,B3,100.00000000000004
2017-01-02T10:00:00,B,B3,90.0
2017-01-02T11:00:00,B,B3,95.0
2017-01-02T12:00:00,B,B3,98.00000000000004
2017-01-02T13:00:00,B,B3,101.00000000000004
2017-01-02T14:00:00,B,B3,90.99999999999996
2017-01-02T15:00:00,B,B3,81.00000000000003
2017-01-02T16:00:00,B,B3,88.00000000000003
2017-01-02T17:00:00,B,B3,68.00000000000001
2017-01-02T18:00:00,B,B3,59.99999999999999
2017-01-02T19:00:00,B,B3,55.000000000000014
2017-01-02T20:00:00,B,B3,52.99999999999999
