datetime,substation,feeder,consumption
2017-01-01T00:00:00,H,H1,117.16666666666664
2017-01-01T01:00:00,H,H1,98.00000000000004
2017-01-01T02:00:00,H,H1,98.00000000000004
2017-01-01T03:00:00,H,H1,95.0
2017-01-01T04:00:00,H,H1,90.99999999999996
2017-01-01T05:00:00,H,H1,85.00000000000001
2017-01-01T06:00:00,H,H1,77.99999999999993
2017-01-01T07:00:00,H,H1,74.0000000000001
2017-01-01T08:00:00,H,H1,74.0000000000001
2017-01-01T09:00:00,H,H1,79.13288437515364
2017-01-01T10:00:00,H,H1,81.81006613493257
2017-01-01T11:00:00,H,H1,84.5581842331235
2017-01-01T12:00:00,H,H1,85.05304097767872
2017-01-01T13:00:00,H,H1,86.1942144532873
2017-01-01T14:00:00,H,H1,89.64840599387307
2017-01-01T15:00:00,H,H1,88.71219792125446
2017-01-01T16:00:00,H,H1,85.00000000000001
2017-01-01T17:00:00,H,H1,88.99999999999999
2017-01-01T18:00:00,H,H1,89.99999999999991
2017-01-01T19:00:00,H,H1,100.00000000000004
2017-01-01T20:00:00,H,H1,102.99999999999991
2017-01-01T21:00:00,H,H1,102.99999999999991
2017-01-01T22:00:00,H,H1,99.00000000000016
2017-01-01T23:00:00,H,H1,99.00000000000016
2017-01-02T00:00:00,H,H1,93.00000000000011
2017-01-02T01:00:00,H,H1,88.99999999999999
2017-01-02T02:00:00,H,H1,88.99999999999999
2017-01-02T03:00:00,H,H1,88.00000000000003
2017-01-02T04:00:00,H,H1,88.00000000000003
2017-01-02T05:00:00,H,H1,88.00000000000003
2017-01-02T06:00:00,H,H1,78.99999999999993
2017-01-02T07:00:00,H,H1,82.00000000000001
2017-01-02T08:00:00,H,H1,98.00000000000004
2017-01-02T09:00:00,H,H1,102.99999999999991
2017-01-02T10:00:00,H,H1,104.99999999999996
2017-01-02T11:00:00,H,H1,105.99999999999989
2017-01-02T12:00:00,H,H1,110.00000000000014
2017-01-02T13:00:00,H,H1,117.00000000000004
2017-01-02T14:00:00,H,H1,94.00000000000009
2017-01-02T15:00:00,H,H1,99.00000000000016
2017-01-02T16:00:00,H,H1,99.00000000000016
2017-01-02T17:00:00,H,H1,96.99999999999991
2017-01-02T18:00:00,H,H1,108.00000000000011
2017-01-02T19:00:00,H,H1,113.99999999999991
2017-01-02T20:00:00,H,H1,124.00000000000004
2017-01-02T21:00:00,H,H1,124.00000000000004
2017-01-02T22:00:00,H,H1,122.00000000000004
2017-01-02T23:00:00,H,H1,113.99999999999991
2017-01-03T00:00:00,H,H1,111.99999999999986
2017-01-03T01:00:00,H,H1,104.00000000000009
2017-01-03T02:00:00,H,H1,101.99999999999989
2017-01-03T03:00:00,H,H1,101.99999999999989
2017-01-03T04:00:00,H,H1,101.99999999999989
2017-01-03T05:00:00,H,H1,101.99999999999989
2017-01-03T06:00:00,H,H1,87.0
2017-01-03T07:00:00,H,H1,95.0
2017-01-03T08:00:00,H,H1,106.99999999999996
2017-01-03T09:00:00,H,H1,113.99999999999991
2017-01-03T10:00:00,H,H1,119.99999999999996
2017-01-03T11:00:00,H,H1,125.00000000000004
2017-01-03T12:00:00,H,H1,126.99999999999989
2017-01-03T13:00:00,H,H1,125.00000000000004
2017-01-03T14:00:00,H,H1,135.00000000000003
2017-01-03T15:00:00,H,H1,135.00000000000003
2017-01-03T16:00:00,H,H1,132.9999999999999
2017-01-03T17:00:00,H,H1,124.00000000000004
2017-01-03T18:00:00,H,H1,119.00000000000004
2017-01-03T19:00:00,H,H1,121.00000000000014
2017-01-03T20:00:00,H,H1,135.00000000000003
2017-01-03T21:00:00,H,H1,132.9999999999999
2017-01-03T22:00:00,H,H1,127.99999999999996
2017-01-03T23:00:00,H,H1,126.0
2017-01-04T00:00:00,H,H1,116.00000000000018
2017-01-04T01:00:00,H,H1,108.00000000000011
2017-01-04T02:00:00,H,H1,101.99999999999989
2017-01-04T03:00:00,H,H1,101.99999999999989
2017-01-04T04:00:00,H,H1,100.00000000000004
2017-01-04T05:00:00,H,H1,101.99999999999989
2017-01-04T06:00:00,H,H1,95.0
2017-01-04T07:00:00,H,H1,101.99999999999989
2017-01-04T08:00:00,H,H1,119.00000000000004
2017-01-04T09:00:00,H,H1,124.00000000000004
2017-01-04T10:00:00,H,H1,132.9999999999999
2017-01-04T11:00:00,H,H1,132.9999999999999
2017-01-04T12:00:00,H,H1,135.00000000000003
2017-01-04T13:00:00,H,H1,137.00000000000003
2017-01-04T14:00:00,H,H1,136.00000000000017
2017-01-04T15:00:00,H,H1,137.00000000000003
2017-01-04T16:00:00,H,H1,132.9999999999999
2017-01-04T17:00:00,H,H1,112.96649158050884
2017-01-04T18:00:00,H,H1,121.16666666666669
2017-01-04T19:00:00,H,H1,131.00000000000006
2017-01-04T20:00:00,H,H1,137.00000000000003
2017-01-04T21:00:00,H,H1,138.00000000000006
2017-01-04T22:00:00,H,H1,132.9999999999999
2017-01-04T23:00:00,H,H1,127.99999999999996
2017-01-05T00:00:00,H,H1,119.00000000000004
2017-01-05T01:00:00,H,H1,111.99999999999986
2017-01-05T02:00:00,H,H1,101.99999999999989
2017-01-05T03:00:00,H,H1,101.99999999999989
2017-01-05T04:00:00,H,H1,100.99999999999991
2017-01-05T05:00:00,H,H1,100.00000000000004
2017-01-05T06:00:00,H,H1,98.00000000000004
2017-01-05T07:00:00,H,H1,104.99999999999996
2017-01-05T08:00:00,H,H1,111.99999999999986
2017-01-05T09:00:00,H,H1,121.00000000000014
2017-01-05T10:00:00,H,H1,117.00000000000004
2017-01-05T11:00:00,H,H1,128.99999999999997
2017-01-05T12:00:00,H,H1,129.99999999999986
2017-01-05T13:00:00,H,H1,126.0
2017-01-05T14:00:00,H,H1,129.99999999999986
2017-01-05T15:00:00,H,H1,131.99999999999997
2017-01-05T16:00:00,H,H1,115.0
2017-01-05T17:00:00,H,H1,111.99999999999986
2017-01-05T18:00:00,H,H1,104.99999999999996
2017-01-05T19:00:00,H,H1,106.99999999999996
2017-01-05T20:00:00,H,H1,117.00000000000004
2017-01-05T21:00:00,H,H1,111.99999999999986
2017-01-05T22:00:00,H,H1,110.00000000000014
2017-01-05T23:00:00,H,H1,106.99999999999996
2017-01-06T00:00:00,H,H1,96.99999999999991
2017-01-06T01:00:00,H,H1,95.0
2017-01-06T02:00:00,H,H1,88.00000000000003
